cve,epss,percentile,date
CVE-2025-10769,0.0005,0.15241,2025-10-14
CVE-2025-10083,0.00055,0.1718,2025-10-14
CVE-2025-9923,0.00049,0.15016,2025-10-15
CVE-2025-9801,0.00066,0.20741,2025-10-15
CVE-2025-9800,0.00055,0.17289,2025-10-15
CVE-2025-9796,0.00039,0.11183,2025-10-15
CVE-2025-9794,0.00053,0.16459,2025-10-15
CVE-2025-9789,0.00048,0.148,2025-10-15
CVE-2025-11031,0.00099,0.28357,2025-10-15
CVE-2025-10779,0.00066,0.20738,2025-10-15
CVE-2025-10769,0.0005,0.15298,2025-10-15
CVE-2025-10083,0.00055,0.17252,2025-10-15
CVE-2025-9923,0.00049,0.15051,2025-10-16
CVE-2025-9801,0.00066,0.20745,2025-10-16
CVE-2025-9800,0.00055,0.17308,2025-10-16
CVE-2025-9796,0.00039,0.11193,2025-10-16
CVE-2025-9794,0.00053,0.16496,2025-10-16
CVE-2025-9789,0.00048,0.14837,2025-10-16
CVE-2025-11031,0.00099,0.28367,2025-10-16
CVE-2025-10779,0.00066,0.20742,2025-10-16
CVE-2025-10769,0.0005,0.15334,2025-10-16
CVE-2025-10083,0.00055,0.17271,2025-10-16
CVE-2025-9923,0.00049,0.15006,2025-10-17
CVE-2025-9801,0.00066,0.20713,2025-10-17
CVE-2025-9800,0.00055,0.17292,2025-10-17
CVE-2025-9796,0.00039,0.11171,2025-10-17
CVE-2025-9794,0.00053,0.16471,2025-10-17
CVE-2025-9789,0.00048,0.14792,2025-10-17
CVE-2025-11031,0.00108,0.29727,2025-10-17
CVE-2025-10779,0.00066,0.20711,2025-10-17
CVE-2025-10769,0.0005,0.15291,2025-10-17
CVE-2025-10083,0.00055,0.17255,2025-10-17
CVE-2025-9923,0.00049,0.15017,2025-10-18
CVE-2025-9801,0.00066,0.207,2025-10-18
CVE-2025-9800,0.00055,0.17289,2025-10-18
CVE-2025-9796,0.00039,0.1114,2025-10-18
CVE-2025-9794,0.00053,0.16471,2025-10-18
CVE-2025-9789,0.00048,0.14805,2025-10-18
CVE-2025-11031,0.00108,0.29707,2025-10-18
CVE-2025-10779,0.00066,0.20698,2025-10-18
CVE-2025-10769,0.0005,0.15299,2025-10-18
CVE-2025-10083,0.00055,0.17254,2025-10-18
CVE-2025-9923,0.00049,0.15001,2025-10-19
CVE-2025-9801,0.00066,0.2066,2025-10-19
CVE-2025-9800,0.00055,0.17258,2025-10-19
CVE-2025-9796,0.00039,0.111,2025-10-19
CVE-2025-9794,0.00053,0.16448,2025-10-19
CVE-2025-9789,0.00048,0.14789,2025-10-19
CVE-2025-11031,0.00108,0.29668,2025-10-19
CVE-2025-10779,0.00066,0.20658,2025-10-19
CVE-2025-10769,0.0005,0.15289,2025-10-19
CVE-2025-10083,0.00055,0.17222,2025-10-19
CVE-2025-9923,0.00049,0.14933,2025-10-20
CVE-2025-9801,0.00066,0.20603,2025-10-20
CVE-2025-9800,0.00055,0.17193,2025-10-20
